file_name,output_type,experiment_accession,target,Isogenic replicate
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR976MXN/ENCFF219DYF.bed.gz,IDR thresholded peaks,ENCSR976MXN,ZNF317,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR976MXN/ENCFF815LYN.bed.gz,IDR ranked peaks,ENCSR976MXN,ZNF317,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR976MXN/ENCFF819IEN.bed.gz,IDR thresholded peaks,ENCSR976MXN,ZNF317,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR976MXN/ENCFF571ROC.bed.gz,IDR ranked peaks,ENCSR976MXN,ZNF317,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR976MXN/ENCFF407XJQ.bed.gz,IDR ranked peaks,ENCSR976MXN,ZNF317,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR976MXN/ENCFF864JRZ.bed.gz,conservative IDR thresholded peaks,ENCSR976MXN,ZNF317,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR153DWR/ENCFF656VWR.bed.gz,IDR ranked peaks,ENCSR153DWR,E2F1,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR153DWR/ENCFF918YGU.bed.gz,IDR thresholded peaks,ENCSR153DWR,E2F1,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR153DWR/ENCFF848QSZ.bed.gz,IDR ranked peaks,ENCSR153DWR,E2F1,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR153DWR/ENCFF661CGO.bed.gz,IDR thresholded peaks,ENCSR153DWR,E2F1,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR153DWR/ENCFF118JNU.bed.gz,IDR ranked peaks,ENCSR153DWR,E2F1,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR153DWR/ENCFF904RTN.bed.gz,IDR thresholded peaks,ENCSR153DWR,E2F1,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR153DWR/ENCFF569JIF.bed.gz,IDR ranked peaks,ENCSR153DWR,E2F1,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR153DWR/ENCFF599YLJ.bed.gz,conservative IDR thresholded peaks,ENCSR153DWR,E2F1,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR568ZXG/ENCFF528ESS.bed.gz,IDR ranked peaks,ENCSR568ZXG,ATF3,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR568ZXG/ENCFF659GZT.bed.gz,IDR thresholded peaks,ENCSR568ZXG,ATF3,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR568ZXG/ENCFF806JZT.bed.gz,IDR ranked peaks,ENCSR568ZXG,ATF3,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR568ZXG/ENCFF495DDK.bed.gz,IDR thresholded peaks,ENCSR568ZXG,ATF3,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR568ZXG/ENCFF878VTI.bed.gz,IDR ranked peaks,ENCSR568ZXG,ATF3,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR568ZXG/ENCFF122HFP.bed.gz,IDR thresholded peaks,ENCSR568ZXG,ATF3,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR568ZXG/ENCFF561JSP.bed.gz,IDR ranked peaks,ENCSR568ZXG,ATF3,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR568ZXG/ENCFF246USC.bed.gz,conservative IDR thresholded peaks,ENCSR568ZXG,ATF3,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR755CRA/ENCFF787JRN.bed.gz,IDR ranked peaks,ENCSR755CRA,ZKSCAN8,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR755CRA/ENCFF441NMQ.bed.gz,IDR thresholded peaks,ENCSR755CRA,ZKSCAN8,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR755CRA/ENCFF709NOV.bed.gz,IDR ranked peaks,ENCSR755CRA,ZKSCAN8,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR755CRA/ENCFF665MZE.bed.gz,IDR thresholded peaks,ENCSR755CRA,ZKSCAN8,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR755CRA/ENCFF983MZS.bed.gz,IDR ranked peaks,ENCSR755CRA,ZKSCAN8,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR755CRA/ENCFF109UVJ.bed.gz,IDR thresholded peaks,ENCSR755CRA,ZKSCAN8,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR755CRA/ENCFF961GHQ.bed.gz,IDR ranked peaks,ENCSR755CRA,ZKSCAN8,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR755CRA/ENCFF967XKC.bed.gz,conservative IDR thresholded peaks,ENCSR755CRA,ZKSCAN8,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR166BAY/ENCFF248LMK.bed.gz,IDR ranked peaks,ENCSR166BAY,ZBTB1,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR166BAY/ENCFF989NNM.bed.gz,IDR thresholded peaks,ENCSR166BAY,ZBTB1,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR166BAY/ENCFF692HVX.bed.gz,IDR ranked peaks,ENCSR166BAY,ZBTB1,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR166BAY/ENCFF710CGH.bed.gz,IDR thresholded peaks,ENCSR166BAY,ZBTB1,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR166BAY/ENCFF057SBY.bed.gz,IDR ranked peaks,ENCSR166BAY,ZBTB1,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR166BAY/ENCFF916CTU.bed.gz,IDR thresholded peaks,ENCSR166BAY,ZBTB1,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR166BAY/ENCFF137MIV.bed.gz,IDR ranked peaks,ENCSR166BAY,ZBTB1,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR166BAY/ENCFF364JZV.bed.gz,conservative IDR thresholded peaks,ENCSR166BAY,ZBTB1,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR940PYZ/ENCFF796AQZ.bed.gz,IDR ranked peaks,ENCSR940PYZ,ZNF609,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR940PYZ/ENCFF633DHE.bed.gz,IDR thresholded peaks,ENCSR940PYZ,ZNF609,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR940PYZ/ENCFF560KXU.bed.gz,IDR ranked peaks,ENCSR940PYZ,ZNF609,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR940PYZ/ENCFF581TOL.bed.gz,IDR thresholded peaks,ENCSR940PYZ,ZNF609,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR940PYZ/ENCFF310MTF.bed.gz,IDR ranked peaks,ENCSR940PYZ,ZNF609,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR940PYZ/ENCFF824EJC.bed.gz,IDR thresholded peaks,ENCSR940PYZ,ZNF609,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR940PYZ/ENCFF516WVB.bed.gz,IDR ranked peaks,ENCSR940PYZ,ZNF609,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR940PYZ/ENCFF500KQY.bed.gz,conservative IDR thresholded peaks,ENCSR940PYZ,ZNF609,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR269BSA/ENCFF178CEU.bed.gz,IDR ranked peaks,ENCSR269BSA,MED1,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR269BSA/ENCFF240BWI.bed.gz,IDR thresholded peaks,ENCSR269BSA,MED1,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR269BSA/ENCFF992QMA.bed.gz,IDR ranked peaks,ENCSR269BSA,MED1,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR269BSA/ENCFF230BIO.bed.gz,IDR thresholded peaks,ENCSR269BSA,MED1,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR269BSA/ENCFF657GGN.bed.gz,IDR ranked peaks,ENCSR269BSA,MED1,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR269BSA/ENCFF882ZEN.bed.gz,IDR thresholded peaks,ENCSR269BSA,MED1,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR269BSA/ENCFF845EDN.bed.gz,IDR ranked peaks,ENCSR269BSA,MED1,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR269BSA/ENCFF232WLA.bed.gz,conservative IDR thresholded peaks,ENCSR269BSA,MED1,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR955LXM/ENCFF639OPF.bed.gz,IDR ranked peaks,ENCSR955LXM,ZBTB33,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR955LXM/ENCFF645DRS.bed.gz,IDR thresholded peaks,ENCSR955LXM,ZBTB33,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR955LXM/ENCFF986PFF.bed.gz,IDR ranked peaks,ENCSR955LXM,ZBTB33,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR955LXM/ENCFF610WFF.bed.gz,IDR thresholded peaks,ENCSR955LXM,ZBTB33,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR955LXM/ENCFF619CLT.bed.gz,IDR ranked peaks,ENCSR955LXM,ZBTB33,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR955LXM/ENCFF763XBV.bed.gz,IDR thresholded peaks,ENCSR955LXM,ZBTB33,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR955LXM/ENCFF322GIF.bed.gz,IDR ranked peaks,ENCSR955LXM,ZBTB33,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR955LXM/ENCFF895NBQ.bed.gz,conservative IDR thresholded peaks,ENCSR955LXM,ZBTB33,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR279IMD/ENCFF893CIR.bed.gz,IDR ranked peaks,ENCSR279IMD,HMGXB4,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR279IMD/ENCFF585ICY.bed.gz,IDR thresholded peaks,ENCSR279IMD,HMGXB4,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR279IMD/ENCFF154TRY.bed.gz,IDR ranked peaks,ENCSR279IMD,HMGXB4,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR279IMD/ENCFF710WSH.bed.gz,IDR thresholded peaks,ENCSR279IMD,HMGXB4,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR279IMD/ENCFF313MQV.bed.gz,IDR ranked peaks,ENCSR279IMD,HMGXB4,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR279IMD/ENCFF185KMK.bed.gz,IDR thresholded peaks,ENCSR279IMD,HMGXB4,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR279IMD/ENCFF671QYZ.bed.gz,IDR ranked peaks,ENCSR279IMD,HMGXB4,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR279IMD/ENCFF312OVC.bed.gz,conservative IDR thresholded peaks,ENCSR279IMD,HMGXB4,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR140GLO/ENCFF480YLT.bed.gz,IDR ranked peaks,ENCSR140GLO,SMAD3,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR140GLO/ENCFF054NIV.bed.gz,IDR ranked peaks,ENCSR140GLO,SMAD3,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR140GLO/ENCFF623BHQ.bed.gz,IDR ranked peaks,ENCSR140GLO,SMAD3,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR140GLO/ENCFF403VQP.bed.gz,IDR thresholded peaks,ENCSR140GLO,SMAD3,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR140GLO/ENCFF135BQA.bed.gz,IDR thresholded peaks,ENCSR140GLO,SMAD3,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR140GLO/ENCFF335ZTU.bed.gz,IDR thresholded peaks,ENCSR140GLO,SMAD3,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR140GLO/ENCFF019RNS.bed.gz,IDR ranked peaks,ENCSR140GLO,SMAD3,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR140GLO/ENCFF361SCY.bed.gz,conservative IDR thresholded peaks,ENCSR140GLO,SMAD3,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR475ZGL/ENCFF787PSM.bed.gz,IDR ranked peaks,ENCSR475ZGL,MLX,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR475ZGL/ENCFF461PEV.bed.gz,IDR thresholded peaks,ENCSR475ZGL,MLX,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR475ZGL/ENCFF359GNK.bed.gz,IDR ranked peaks,ENCSR475ZGL,MLX,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR475ZGL/ENCFF641SRE.bed.gz,IDR thresholded peaks,ENCSR475ZGL,MLX,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR475ZGL/ENCFF682SSQ.bed.gz,IDR thresholded peaks,ENCSR475ZGL,MLX,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR475ZGL/ENCFF128YWS.bed.gz,conservative IDR thresholded peaks,ENCSR475ZGL,MLX,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR475ZGL/ENCFF811KBZ.bed.gz,IDR ranked peaks,ENCSR475ZGL,MLX,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR475ZGL/ENCFF142WTG.bed.gz,IDR ranked peaks,ENCSR475ZGL,MLX,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR028WJI/ENCFF211ASD.bed.gz,IDR ranked peaks,ENCSR028WJI,TGIF2,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR028WJI/ENCFF555XYI.bed.gz,IDR ranked peaks,ENCSR028WJI,TGIF2,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR028WJI/ENCFF336YLK.bed.gz,conservative IDR thresholded peaks,ENCSR028WJI,TGIF2,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR028WJI/ENCFF534ZUO.bed.gz,IDR thresholded peaks,ENCSR028WJI,TGIF2,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR028WJI/ENCFF888UMH.bed.gz,IDR ranked peaks,ENCSR028WJI,TGIF2,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR028WJI/ENCFF036QDL.bed.gz,IDR thresholded peaks,ENCSR028WJI,TGIF2,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR028WJI/ENCFF238XIA.bed.gz,IDR thresholded peaks,ENCSR028WJI,TGIF2,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR028WJI/ENCFF441MEW.bed.gz,IDR ranked peaks,ENCSR028WJI,TGIF2,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR372IML/ENCFF858NWA.bed.gz,conservative IDR thresholded peaks,ENCSR372IML,SP1,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR372IML/ENCFF932QXK.bed.gz,IDR ranked peaks,ENCSR372IML,SP1,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR372IML/ENCFF194MEG.bed.gz,IDR thresholded peaks,ENCSR372IML,SP1,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR372IML/ENCFF967VSP.bed.gz,IDR thresholded peaks,ENCSR372IML,SP1,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR372IML/ENCFF583RCF.bed.gz,IDR ranked peaks,ENCSR372IML,SP1,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR372IML/ENCFF994TVF.bed.gz,IDR ranked peaks,ENCSR372IML,SP1,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR372IML/ENCFF012RTC.bed.gz,IDR ranked peaks,ENCSR372IML,SP1,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR372IML/ENCFF412ERW.bed.gz,IDR thresholded peaks,ENCSR372IML,SP1,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR249VFB/ENCFF579VSJ.bed.gz,IDR ranked peaks,ENCSR249VFB,ZBTB49,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR249VFB/ENCFF683CIJ.bed.gz,IDR ranked peaks,ENCSR249VFB,ZBTB49,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR249VFB/ENCFF930HPI.bed.gz,IDR thresholded peaks,ENCSR249VFB,ZBTB49,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR249VFB/ENCFF223PBO.bed.gz,IDR ranked peaks,ENCSR249VFB,ZBTB49,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR249VFB/ENCFF925ZPO.bed.gz,IDR ranked peaks,ENCSR249VFB,ZBTB49,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR249VFB/ENCFF131HZI.bed.gz,IDR thresholded peaks,ENCSR249VFB,ZBTB49,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR249VFB/ENCFF078NEQ.bed.gz,conservative IDR thresholded peaks,ENCSR249VFB,ZBTB49,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR249VFB/ENCFF308VAI.bed.gz,IDR thresholded peaks,ENCSR249VFB,ZBTB49,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR498JCG/ENCFF518EGY.bed.gz,IDR thresholded peaks,ENCSR498JCG,ELF4,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR498JCG/ENCFF445ZPU.bed.gz,IDR thresholded peaks,ENCSR498JCG,ELF4,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR498JCG/ENCFF781AVA.bed.gz,IDR ranked peaks,ENCSR498JCG,ELF4,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR498JCG/ENCFF043OXO.bed.gz,conservative IDR thresholded peaks,ENCSR498JCG,ELF4,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR498JCG/ENCFF031JRX.bed.gz,IDR ranked peaks,ENCSR498JCG,ELF4,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR498JCG/ENCFF191GPO.bed.gz,IDR ranked peaks,ENCSR498JCG,ELF4,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR498JCG/ENCFF926YJX.bed.gz,IDR thresholded peaks,ENCSR498JCG,ELF4,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR498JCG/ENCFF739UKU.bed.gz,IDR ranked peaks,ENCSR498JCG,ELF4,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR014ARU/ENCFF650ZJR.bed.gz,IDR ranked peaks,ENCSR014ARU,ATF2,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR014ARU/ENCFF507XJO.bed.gz,IDR ranked peaks,ENCSR014ARU,ATF2,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR014ARU/ENCFF418KEX.bed.gz,IDR ranked peaks,ENCSR014ARU,ATF2,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR014ARU/ENCFF516SIV.bed.gz,IDR thresholded peaks,ENCSR014ARU,ATF2,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR014ARU/ENCFF888JJI.bed.gz,IDR thresholded peaks,ENCSR014ARU,ATF2,2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR014ARU/ENCFF121HYT.bed.gz,IDR thresholded peaks,ENCSR014ARU,ATF2,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR014ARU/ENCFF289VCS.bed.gz,IDR ranked peaks,ENCSR014ARU,ATF2,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR014ARU/ENCFF559LTZ.bed.gz,conservative IDR thresholded peaks,ENCSR014ARU,ATF2,1 2
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR058DRG/ENCFF054KGQ.bed.gz,IDR thresholded peaks,ENCSR058DRG,CEBPG,1
/dcs05/hongkai/data/next_cutntag/public_data/ChIPSeq/TFs/peak/ENCSR058DRG/ENCFF505RJJ.bed.gz,IDR ranked peaks,ENCSR058DRG,CEBPG,1 2
